State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
WA,51400,Carnarvon,Cardiovascular system,3.31,3.26,3.16,3.36,"5,518","18,265","17,989","17,437","18,540",276,552,"1,104",50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Nervous system,2.07,2.01,2.01,2.17,"5,518","11,422","11,091","11,091","11,974",331,0,883,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Alimentary tract and metabolism,1.49,1.44,1.38,1.46,"5,518","8,222","7,946","7,615","8,056",276,331,441,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Antiinfectives for systemic use,0.63,0.59,0.57,0.58,"5,518","3,476","3,256","3,145","3,200",221,110,55,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Blood and blood forming organs,0.39,0.36,0.36,0.41,"5,518","2,152","1,986","1,986","2,262",166,0,276,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Musculo-skeletal system,0.39,0.37,0.39,0.47,"5,518","2,152","2,042","2,152","2,593",110,110,441,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Respiratory system,0.37,0.39,0.45,0.44,"5,518","2,042","2,152","2,483","2,428",110,331,55,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Genito urinary system and sex hormones,0.24,0.24,0.23,0.24,"5,518","1,324","1,324","1,269","1,324",0,55,55,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
VIC,21610,Casey,Cardiovascular system,3.44,3.52,3.43,3.29,"378,831","1,303,179","1,333,485","1,299,390","1,246,354","30,306","34,095","53,036",21202129301,Berwick - North,21202,Casey - North,Melbourne - South East,Greater Melbourne
VIC,22750,Greater Geelong,Cardiovascular system,4.68,4.72,4.57,4.35,"276,446","1,293,767","1,304,825","1,263,358","1,202,540","11,058","41,467","60,818",20302103701,Belmont,20302,Geelong,Geelong,Rest of Vic.
NSW,13100,Central Coast (NSW),Nervous system,3.65,3.56,3.57,3.55,"349,173","1,274,481","1,243,056","1,246,548","1,239,564","31,426","3,492","6,983",10201102801,Avoca Beach - Copacabana,10201,Gosford,Central Coast,Greater Sydney
WA,51400,Carnarvon,Sensory organs,0.2,0.22,0.22,0.25,"5,518","1,104","1,214","1,214","1,380",110,0,166,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Antineoplastic and immunomodulating agents,0.16,0.13,0.18,0.17,"5,518",883,717,993,938,166,276,55,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,"Systemic hormonal preparations, excl. sex hormones and insulins",0.15,0.16,0.16,0.16,"5,518",828,883,883,883,55,0,0,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnarvon,Dermatologicals,0.12,0.12,0.12,0.13,"5,518",662,662,662,717,0,0,55,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
NSW,14650,Lake Macquarie,Cardiovascular system,5.48,5.54,5.47,5.39,"216,603","1,186,984","1,199,981","1,184,818","1,167,490","12,996","15,162","17,328",10202105014,Lake Munmorah - Mannering Park,10202,Wyong,Central Coast,Greater Sydney
WA,51400,Chapman Valley,Cardiovascular system,3.1,3.04,2.91,2.85,"1,636","5,072","4,973","4,761","4,663",98,213,98,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
QLD,31000,Brisbane,Antiinfectives for systemic use,0.91,0.87,0.79,0.75,"1,283,002","1,167,532","1,116,212","1,013,572","962,252","51,320","102,640","51,320",30101100201,Belmont - Gumdale,30101,Capalaba,Brisbane - East,Greater Brisbane
WA,51400,Chapman Valley,Nervous system,2.49,2.32,2.21,2.12,"1,636","4,074","3,796","3,616","3,468",278,180,147,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Alimentary tract and metabolism,1.42,1.34,1.29,1.24,"1,636","2,323","2,192","2,110","2,029",131,82,82,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Antiinfectives for systemic use,0.61,0.59,0.58,0.56,"1,636",998,965,949,916,33,16,33,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Blood and blood forming organs,0.36,0.33,0.29,0.29,"1,636",589,540,474,474,49,65,0,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
QLD,35010,Moreton Bay,Alimentary tract and metabolism,2.31,2.19,2.12,1.98,"496,777","1,147,555","1,087,942","1,053,167","983,618","59,613","34,774","69,549",31301136201,Beachmere - Sandstone Point,31301,Bribie - Beachmere,Moreton Bay - North,Greater Brisbane
WA,51400,Chapman Valley,Musculo-skeletal system,0.36,0.37,0.36,0.37,"1,636",589,605,589,605,16,16,16,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Respiratory system,0.34,0.33,0.34,0.33,"1,636",556,540,556,540,16,16,16,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Genito urinary system and sex hormones,0.24,0.24,0.24,0.24,"1,636",393,393,393,393,0,0,0,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Chapman Valley,Sensory organs,0.15,0.13,0.13,0.15,"1,636",245,213,213,245,33,0,33,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
QLD,33430,Gold Coast,Alimentary tract and metabolism,1.72,1.67,1.62,1.52,"647,078","1,112,974","1,080,620","1,048,266","983,559","32,354","32,354","64,708",30901122401,Broadbeach Waters,30901,Broadbeach - Burleigh,Gold Coast,Rest of Qld
QLD,34590,Logan,Nervous system,3.06,2.97,2.96,3.02,"363,057","1,110,954","1,078,279","1,074,649","1,096,432","32,675","3,631","21,783",31102130601,Beenleigh,31102,Beenleigh,Logan - Beaudesert,Greater Brisbane
WA,51750,Christmas Island,Cardiovascular system,2.76,2.77,2.7,2.7,"1,787","4,932","4,950","4,825","4,825",18,125,0,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Alimentary tract and metabolism,0.97,0.97,0.98,0.95,"1,787","1,733","1,733","1,751","1,698",0,18,54,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Nervous system,0.67,0.67,0.56,0.56,"1,787","1,197","1,197","1,001","1,001",0,197,0,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Musculo-skeletal system,0.25,0.25,0.24,0.25,"1,787",447,447,429,447,0,18,18,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Sensory organs,0.24,0.17,0.16,0.12,"1,787",429,304,286,214,125,18,71,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Antiinfectives for systemic use,0.23,0.25,0.24,0.24,"1,787",411,447,429,429,36,18,0,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Respiratory system,0.19,0.22,0.21,0.2,"1,787",340,393,375,357,54,18,18,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Christmas Island,Blood and blood forming organs,0.16,0.12,0.12,0.15,"1,787",286,214,214,268,71,0,54,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
NSW,12850,Fairfield,Cardiovascular system,4.95,5.07,4.94,4.9,"206,807","1,023,695","1,048,511","1,021,627","1,013,354","24,817","26,885","8,272",12503148001,Fairfield - East,12503,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney
VIC,22750,Greater Geelong,Nervous system,3.65,3.55,3.5,3.4,"276,446","1,009,028","981,383","967,561","939,916","27,645","13,822","27,645",20302103701,Belmont,20302,Geelong,Geelong,Rest of Vic.
WA,51820,Cocos Islands,Cardiovascular system,4.01,4.11,3.94,3.91,614,"2,462","2,524","2,419","2,401",61,104,18,50701114803,Banjup,50701,Cockburn,Perth - South West,Greater Perth
WA,51820,Cocos Islands,Alimentary tract and metabolism,1.56,1.51,1.43,1.43,614,958,927,878,878,31,49,0,50701114803,Banjup,50701,Cockburn,Perth - South West,Greater Perth
WA,51820,Cocos Islands,Nervous system,0.93,0.72,0.6,0.6,614,571,442,368,368,129,74,0,50701114803,Banjup,50701,Cockburn,Perth - South West,Greater Perth
WA,51820,Cocos Islands,Blood and blood forming organs,0.48,0.37,0.31,0.26,614,295,227,190,160,68,37,31,50701114803,Banjup,50701,Cockburn,Perth - South West,Greater Perth
WA,51820,Cocos Islands,Musculo-skeletal system,0.36,0.38,0.35,0.34,614,221,233,215,209,12,18,6,50701114803,Banjup,50701,Cockburn,Perth - South West,Greater Perth
NSW,18450,Wollongong,Cardiovascular system,4.51,4.61,4.51,4.45,"216,431","976,104","997,747","976,104","963,118","21,643","21,643","12,986",10701113101,Dapto - Avondale,10701,Dapto - Port Kembla,Illawarra,Rest of NSW
NSW,17150,Sutherland,Cardiovascular system,4.17,4.22,4.13,4.08,"231,839","966,769","978,361","957,495","945,903","11,592","20,866","11,592",12703152435,Holsworthy - Wattle Grove,12703,Liverpool,Sydney - South West,Greater Sydney
VIC,25340,Mornington Peninsula,Cardiovascular system,5.39,5.48,5.36,5.11,"169,663","914,484","929,753","909,394","866,978","15,270","20,360","42,416",21402137701,Dromana,21402,Mornington Peninsula,Mornington Peninsula,Greater Melbourne
VIC,23270,Hume,Cardiovascular system,3.57,3.61,3.55,3.4,"252,987","903,164","913,283","898,104","860,156","10,119","15,179","37,948",21001122805,Keilor,21001,Keilor,Melbourne - North West,Greater Melbourne
NSW,14900,Liverpool,Cardiovascular system,3.76,3.84,3.8,3.77,"239,755","901,479","920,659","911,069","903,876","19,180","9,590","7,193",12403146303,Mulgoa - Luddenham - Orchard Hills,12403,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney
VIC,27070,Whittlesea,Cardiovascular system,3.78,3.88,3.75,3.57,"236,966","895,731","919,428","888,623","845,969","23,697","30,806","42,654",20904121601,Bundoora - North,20904,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
QLD,33960,Ipswich,Cardiovascular system,3.68,3.68,3.59,3.52,"242,653","892,963","892,963","871,124","854,139",0,"21,839","16,986",31002128201,Rosewood,31002,Ipswich Hinterland,Ipswich,Greater Brisbane
VIC,21610,Casey,Nervous system,2.35,2.26,2.25,2.23,"378,831","890,253","856,158","852,370","844,793","34,095","3,788","7,577",21202129301,Berwick - North,21202,Casey - North,Melbourne - South East,Greater Melbourne
QLD,36910,Toowoomba,Cardiovascular system,4.9,4.96,4.78,4.58,"178,399","874,155","884,859","852,747","817,067","10,704","32,112","35,680",30702117901,Crows Nest - Rosalie,30702,Darling Downs - East,Darling Downs - Maranoa,Rest of Qld
VIC,26260,Colac Otway,Cardiovascular system,5.45,5.42,5.26,5.11,"22,188","120,925","120,259","116,709","113,381",666,"3,550","3,328",21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
SA,45340,Onkaparinga,Cardiovascular system,4.75,4.85,4.7,4.58,"178,550","848,113","865,968","839,185","817,759","17,855","26,782","21,426",40304107101,Aberfoyle Park,40304,Onkaparinga,Adelaide - South,Greater Adelaide
QLD,37010,Townsville,Cardiovascular system,4.26,4.21,4.06,3.91,"198,143","844,089","834,182","804,461","774,739","9,907","29,721","29,721",31802146701,Aitkenvale,31802,Townsville,Townsville,Rest of Qld
NSW,13100,Central Coast (NSW),Alimentary tract and metabolism,2.41,2.32,2.27,2.2,"349,173","841,507","810,081","792,623","768,181","31,426","17,459","24,442",10201102801,Avoca Beach - Copacabana,10201,Gosford,Central Coast,Greater Sydney
QLD,33960,Ipswich,Nervous system,3.45,3.31,3.32,3.32,"242,653","837,153","803,181","805,608","805,608","33,971","2,427",0,31002128201,Rosewood,31002,Ipswich Hinterland,Ipswich,Greater Brisbane
VIC,21180,Brimbank,Cardiovascular system,4.33,4.48,4.39,4.26,"193,256","836,798","865,787","848,394","823,271","28,988","17,393","25,123",21001122801,Keilor,21001,Keilor,Melbourne - North West,Greater Melbourne
VIC,26260,Colac Otway,Nervous system,3.7,3.64,3.64,3.62,"22,188","82,096","80,764","80,764","80,321","1,331",0,444,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
NSW,16350,Penrith,Cardiovascular system,3.75,3.81,3.72,3.66,"220,908","828,405","841,659","821,778","808,523","13,254","19,882","13,254",12403145701,Cambridge Park,12403,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney
VIC,26260,Colac Otway,Alimentary tract and metabolism,2.3,2.2,2.17,2.07,"22,188","51,032","48,814","48,148","45,929","2,219",666,"2,219",21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,Antiinfectives for systemic use,0.95,0.99,0.84,0.79,"22,188","21,079","21,966","18,638","17,529",888,"3,328","1,109",21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,Respiratory system,0.68,0.68,0.67,0.64,"22,188","15,088","15,088","14,866","14,200",0,222,666,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
QLD,33220,Fraser Coast,Cardiovascular system,6.97,6.99,6.77,6.26,"115,079","802,101","804,402","779,085","720,395","2,302","25,317","58,690",31903151112,Cooloola,31903,Gympie - Cooloola,Wide Bay,Rest of Qld
VIC,26260,Colac Otway,Blood and blood forming organs,0.62,0.61,0.59,0.59,"22,188","13,757","13,535","13,091","13,091",222,444,0,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,Musculo-skeletal system,0.59,0.57,0.56,0.55,"22,188","13,091","12,647","12,425","12,203",444,222,222,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
WA,57910,Stirling,Cardiovascular system,3.39,3.56,3.46,3.39,"235,983","799,982","840,099","816,501","799,982","40,117","23,598","16,519",50302103901,Mount Lawley - Inglewood,50302,Perth City,Perth - Inner,Greater Perth
VIC,26260,Colac Otway,Genito urinary system and sex hormones,0.39,0.38,0.36,0.36,"22,188","8,653","8,431","7,988","7,988",222,444,0,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,Sensory organs,0.39,0.44,0.41,0.41,"22,188","8,653","9,763","9,097","9,097","1,109",666,0,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.33,0.32,0.28,"22,188","7,100","7,322","7,100","6,213",222,222,888,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
VIC,26260,Colac Otway,Antineoplastic and immunomodulating agents,0.25,0.24,0.24,0.24,"22,188","5,547","5,325","5,325","5,325",222,0,0,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
NSW,10750,Blacktown,Alimentary tract and metabolism,1.92,1.82,1.79,1.77,"410,897","788,922","747,833","735,506","727,288","41,090","12,327","8,218",11601130301,Blacktown (East) - Kings Park,11601,Blacktown,Sydney - Blacktown,Greater Sydney
QLD,34590,Logan,Alimentary tract and metabolism,2.17,2.04,1.97,1.9,"363,057","787,834","740,636","715,222","689,808","47,197","25,414","25,414",31102130601,Beenleigh,31102,Beenleigh,Logan - Beaudesert,Greater Brisbane
QLD,36250,Redland,Cardiovascular system,4.8,4.89,4.76,4.54,"163,732","785,914","800,649","779,364","743,343","14,736","21,285","36,021",30101100101,Alexandra Hills,30101,Capalaba,Brisbane - East,Greater Brisbane
VIC,27260,Wyndham,Cardiovascular system,2.54,2.58,2.47,2.35,"309,125","785,178","797,543","763,539","726,444","12,365","34,004","37,095",21305136101,Hoppers Crossing - North,21305,Wyndham,Melbourne - West,Greater Melbourne
VIC,26260,Colac Otway,Dermatologicals,0.23,0.21,0.2,0.21,"22,188","5,103","4,659","4,438","4,659",444,222,222,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
NSW,14650,Lake Macquarie,Nervous system,3.61,3.51,3.54,3.56,"216,603","781,937","760,277","766,775","771,107","21,660","6,498","4,332",10202105014,Lake Munmorah - Mannering Park,10202,Wyong,Central Coast,Greater Sydney
VIC,26260,Colac Otway,Various,0,0,0,0,"22,188",0,0,0,0,0,0,0,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
NSW,11500,Campbelltown (NSW),Cardiovascular system,4.23,4.23,4.16,4.11,"180,365","762,944","762,944","750,318","741,300",0,"12,626","9,018",12302143601,Bradbury - Wedderburn,12302,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney
NSW,10750,Blacktown,Nervous system,1.84,1.78,1.81,1.95,"410,897","756,050","731,397","743,724","801,249","24,654","12,327","57,526",11601130301,Blacktown (East) - Kings Park,11601,Blacktown,Sydney - Blacktown,Greater Sydney
VIC,24970,Monash,Cardiovascular system,3.87,4.12,4.09,4.07,"194,877","754,174","802,893","797,047","793,149","48,719","5,846","3,898",20802118001,Hughesdale,20802,Glen Eira,Melbourne - Inner South,Greater Melbourne
WA,58760,Wanneroo,Cardiovascular system,3.41,3.42,3.24,3.01,"221,064","753,828","756,039","716,247","665,403","2,211","39,792","50,845",50501108326,Woodvale,50501,Joondalup,Perth - North West,Greater Perth
NSW,17420,The Hills,Cardiovascular system,3.66,3.75,3.66,3.62,"199,244","729,233","747,165","729,233","721,263","17,932","17,932","7,970",11501129001,Baulkham Hills - East,11501,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney
WA,58890,Coolgardie,Cardiovascular system,3.22,3.14,3.08,3.09,"3,635","11,705","11,414","11,196","11,232",291,218,36,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Nervous system,2.51,2.34,2.33,2.69,"3,635","9,124","8,506","8,470","9,778",618,36,"1,309",50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,15900,Newcastle,Cardiovascular system,4.2,4.26,4.21,4.17,"171,528","720,418","730,709","722,133","715,272","10,292","8,576","6,861",11101120956,Glendale - Cardiff - Hillsborough,11101,Lake Macquarie - East,Newcastle and Lake Macquarie,Rest of NSW
WA,58890,Coolgardie,Alimentary tract and metabolism,1.76,1.64,1.56,1.53,"3,635","6,398","5,961","5,671","5,562",436,291,109,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Antiinfectives for systemic use,0.81,0.67,0.69,0.66,"3,635","2,944","2,435","2,508","2,399",509,73,109,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Musculo-skeletal system,0.48,0.4,0.47,0.51,"3,635","1,745","1,454","1,708","1,854",291,254,145,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Respiratory system,0.46,0.52,0.49,0.52,"3,635","1,672","1,890","1,781","1,890",218,109,109,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Blood and blood forming organs,0.36,0.36,0.34,0.34,"3,635","1,309","1,309","1,236","1,236",0,73,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,23670,Knox,Cardiovascular system,4.44,4.5,4.37,4.23,"159,465","708,025","717,593","696,862","674,537","9,568","20,730","22,325",21101125101,Bayswater,21101,Knox,Melbourne - Outer East,Greater Melbourne
WA,58890,Coolgardie,"Systemic hormonal preparations, excl. sex hormones and insulins",0.25,0.2,0.17,0.17,"3,635",909,727,618,618,182,109,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Genito urinary system and sex hormones,0.24,0.21,0.22,0.23,"3,635",872,763,800,836,109,36,36,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Antineoplastic and immunomodulating agents,0.2,0.15,0.14,0.19,"3,635",727,545,509,691,182,36,182,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Coolgardie,Sensory organs,0.13,0.16,0.12,0.12,"3,635",473,582,436,436,109,145,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
